location_name,description,itype_name,checkout_total_x
Architecture Library,นิสิตสถาปัตย์,Book,54.0
Architecture Library,นิสิตสถาปัตย์,E Book,161.0
Architecture Library (3rd Floor),นิสิต,E Book,759.0
Architecture Library (3rd Floor),นิสิตนิเทศ,E Book,1574.0
Architecture Library (3rd Floor),นิสิตพาณิช-บัญชี,E Book,800.0
Architecture Library (3rd Floor),นิสิตวิทยาศาสตร์,E Book,777.0
Architecture Library (3rd Floor),นิสิตศิลปกรรม,E Book,831.0
Architecture Library (3rd Floor),นิสิตสถาปัตย์,Book,3059.0
Architecture Library (3rd Floor),นิสิตสถาปัตย์,E Book,470930.0
Architecture Library (3rd Floor),นิสิตอักษร,E Book,448.0
Architecture Library (4th Floor),นิสิต,E Book,1166.0
Architecture Library (4th Floor),นิสิตครุ,E Book,24.0
Architecture Library (4th Floor),นิสิตพาณิช-บัญชี,E Book,42.0
Architecture Library (4th Floor),นิสิตรัฐศาสตร์,E Book,48.0
Architecture Library (4th Floor),นิสิตวิทย์-กีฬา,E Book,15.0
Architecture Library (4th Floor),นิสิตวิศวะ,E Book,2355.0
Architecture Library (4th Floor),นิสิตสถาปัตย์,Book,230.0
Architecture Library (4th Floor),นิสิตสถาปัตย์,E Book,153985.0
Architecture Library (4th Floor),นิสิตอักษร,E Book,34.0
Architecture Library (4th Floor),นิสิตเภสัชฯ,E Book,28.0
Architecture Library (4th Floor),นิสิตแพทย์,Book,11.0
Architecture Library (Quiet Zone),นิสิต,Book,8814.0
Architecture Library (Quiet Zone),นิสิตนิติศาสตร์,Book,271.0
Architecture Library (Quiet Zone),นิสิตพาณิช-บัญชี,Book,590.0
Architecture Library (Quiet Zone),นิสิตรัฐศาสตร์,Book,11.0
Architecture Library (Quiet Zone),นิสิตวิทยาศาสตร์,Book,665.0
Architecture Library (Quiet Zone),นิสิตศิลปกรรม,Book,2159.0
Architecture Library (Quiet Zone),นิสิตสถาปัตย์,Book,223893.0
Architecture Library (Quiet Zone),นิสิตสถาปัตย์,E Book,3699.0
Architecture Library (Quiet Zone),นิสิตสหเวชศาสตร์,Book,1816.0
Architecture Library (Quiet Zone),นิสิตอักษร,Book,1332.0
Architecture Library (Quiet Zone),นิสิตอักษร,Thesis,18.0
Architecture Library (Quiet Zone),นิสิตเภสัชฯ,Book,216.0
Architecture Library : Reserve Collection,นิสิตสถาปัตย์,E Reserve 1,72.0
Arts Library,นิสิต,Book,1367.0
Arts Library,นิสิตครุ,Book,97711.0
Arts Library,นิสิตครุ,E Book,5457.0
Arts Library,นิสิตครุ,Special Collection,762.0
Arts Library,นิสิตจิตวิทยา,Book,2251.0
Arts Library,นิสิตจิตวิทยา,E Book,391.0
Arts Library,นิสิตตรี สำนักวิชาทรัพยากรการเกษตร,Book,182.0
Arts Library,นิสิตทันตแพทย์,Book,7329.0
Arts Library,นิสิตนิติศาสตร์,Book,20.0
