member_type,duration_day
bachelor degree,9.0
bachelor degree,13.0
bachelor degree,14.0
bachelor degree,7.0
bachelor degree,18.0
bachelor degree,12.0
bachelor degree,19.0
bachelor degree,2.0
bachelor degree,13.0
bachelor degree,12.0
bachelor degree,13.0
bachelor degree,10.0
bachelor degree,4.0
bachelor degree,25.0
bachelor degree,29.0
bachelor degree,19.0
bachelor degree,28.0
bachelor degree,25.0
bachelor degree,12.0
bachelor degree,15.0
bachelor degree,1.0
bachelor degree,4.0
bachelor degree,4.0
bachelor degree,29.0
bachelor degree,18.0
bachelor degree,10.0
bachelor degree,9.0
bachelor degree,14.0
bachelor degree,23.0
bachelor degree,12.0
bachelor degree,4.0
bachelor degree,14.0
bachelor degree,14.0
bachelor degree,18.0
bachelor degree,14.0
bachelor degree,6.0
bachelor degree,24.0
bachelor degree,28.0
bachelor degree,28.0
bachelor degree,2.0
bachelor degree,18.0
bachelor degree,33.0
bachelor degree,29.0
bachelor degree,27.0
bachelor degree,13.0
bachelor degree,19.0
bachelor degree,36.0
bachelor degree,2.0
bachelor degree,4.0
bachelor degree,9.0
bachelor degree,4.0
bachelor degree,11.0
bachelor degree,18.0
bachelor degree,15.0
bachelor degree,17.0
bachelor degree,6.0
bachelor degree,12.0
bachelor degree,3.0
bachelor degree,4.0
bachelor degree,11.0
bachelor degree,14.0
bachelor degree,2.0
bachelor degree,2.0
bachelor degree,12.0
bachelor degree,13.0
bachelor degree,31.0
bachelor degree,4.0
bachelor degree,15.0
bachelor degree,22.0
bachelor degree,6.0
bachelor degree,31.0
bachelor degree,11.0
bachelor degree,2.0
bachelor degree,35.0
bachelor degree,13.0
bachelor degree,2.0
bachelor degree,7.0
bachelor degree,7.0
bachelor degree,26.0
bachelor degree,20.0
bachelor degree,14.0
bachelor degree,75.0
bachelor degree,5.0
bachelor degree,6.0
bachelor degree,3.0
bachelor degree,8.0
bachelor degree,84.0
bachelor degree,8.0
bachelor degree,10.0
bachelor degree,8.0
bachelor degree,14.0
bachelor degree,14.0
bachelor degree,28.0
bachelor degree,5.0
bachelor degree,23.0
bachelor degree,4.0
bachelor degree,10.0
bachelor degree,14.0
bachelor degree,20.0
bachelor degree,21.0
bachelor degree,14.0
bachelor degree,6.0
bachelor degree,14.0
bachelor degree,13.0
bachelor degree,14.0
bachelor degree,6.0
bachelor degree,17.0
bachelor degree,29.0
bachelor degree,3.0
bachelor degree,7.0
bachelor degree,6.0
bachelor degree,125.0
bachelor degree,2.0
bachelor degree,7.0
bachelor degree,6.0
bachelor degree,117.0
bachelor degree,10.0
bachelor degree,2.0
bachelor degree,14.0
bachelor degree,12.0
bachelor degree,22.0
bachelor degree,25.0
bachelor degree,14.0
bachelor degree,15.0
bachelor degree,24.0
bachelor degree,6.0
bachelor degree,13.0
bachelor degree,4.0
bachelor degree,19.0
bachelor degree,24.0
bachelor degree,13.0
bachelor degree,15.0
bachelor degree,14.0
bachelor degree,10.0
